"","Notes.F.S.","flag","ID","taxonomy.genus","taxonomy.sp","taxonomy.subsp","taxonomy.orig_genus","taxonomy.sp_author","taxonomy.gen_author","taxonomy.orig_sp","taxonomy.subgen","taxonomy.gen_status","taxonomy.sp_status","ref.pic","cephalon","cranidium","pygidum","morphology.eyes","morphology.ontogeny","geography.locality","geography.country","geography.lat","geography.long","geography.state","geography.county","stratigraphy.formation","stratigraphy.min_age","stratigraphy.max_age","stratigraphy.ref_age","stratigraphy.basin","stratigraphy.environment","enterer.metadata","enterer.landmark","enterer.date"
"47","Lochkovian","to.inc.lochkovian","GSC_95876","Odontopleura","Odontopleura arctica",NA,"Odontopleura (Odontopleura)","Adrain and Chatterton 1990","Emmrich 1839","arctica","Odontopleura",NA,NA,"Adrain and Chatterton 1990",TRUE,NA,TRUE,TRUE,"holaspis","Marshall Peninsula","Canada",75.433,-96.083,"Nuvanut","Cornwallis Island","Cape Phillips Formation","Llandovery",NA,"Adrain and Chatterton 1990",NA,"carbonate",NA,"FS",NA
"74",NA,"x","Poroscutellum","Poroscutellum","Poroscutellum porosum",NA,NA,"Barrande 1846","Snajdr 1958","porosum",NA,NA,NA,"Snajdr et al 1990",TRUE,NA,TRUE,TRUE,"holaspis","Dvorce-Prokop Limestone","Czech Republic",50,14,NA,NA,"Praha","Pragian",NA,"Chlupac 1982",NA,NA,"Randolfe EA","Male (C) FS (P)",NA
"75",NA,"x","Bonner_CEPH_Tafel_2_fig31","Acastellina","Acastellina sp",NA,NA,NA,"Richter and Richter 1954",NA,NA,NA,"spp","Basse 2003",TRUE,NA,NA,TRUE,"holaspis","Eifel-Mulde","Germany",50.6173049753127,6.4208248194946,NA,NA,"Heisdorf-Schichten","Emsian",NA,"Basse 2003",NA,"siliciclastic","Randolfe EA","Randolfe EA",NA
"76",NA,"x","IGR_11232","Breizhops","Breizhops bigranulosus",NA,"Pseudocryphaeus","Morzadec 1983","Morzadec 1983",NA,NA,NA,NA,"Morzadec 1983",TRUE,NA,NA,TRUE,"holaspis","Lanvoy","France",48.3016350401158,-4.22451433967814,NA,NA,"Kerdreolet Formation","Emsian",NA,"Morzadec 1983",NA,NA,"Serra F","Randolfe EA",NA
"77",NA,"x","IGR_11305","Heliopyge","Heliopyge porsguenensis",NA,NA,"Morzadec 1983","Haas and Mensink 1970",NA,NA,NA,NA,"Morzadec 1983",TRUE,NA,NA,TRUE,"holaspis","Plougastel-Daoulas","France",48.3639521779949,-4.38358019290434,NA,"Finistère","Traonliors Formation","Frasnian",NA,"Morzadec 1983","Rade de Brest","carbonate","Serra F","Randolfe EA",NA
"78",NA,"x","Morzadec_2001_Plate_12_2a","Comura","Comura bultyncki",NA,NA,"Morzadec 2001","Richter and Richter 1926",NA,NA,NA,NA,"Morzadec 2001",TRUE,NA,NA,TRUE,"holaspis","coupe d'Oufatene","Morocco",30.8321758801117,-4.90365512172326,"Draa-Talifatet","Ma'der","El Oftal Formation","Emsian",NA,"Morzadec 2001",NA,"carbonate","Balseiro D","Randolfe EA",NA
"79",NA,"x","Morzadec_2001_Plate_15_3e","Walliserops","Walliserops trifurcatus",NA,NA,"Morzadec 2001","Morzadec 2001",NA,NA,NA,NA,"Morzadec 2001",TRUE,NA,NA,TRUE,"holaspis","Jbel Gara","Morocco",30.0124628702169,-7.11015112472988,"Souss-Masa","Tata Province","Timrhanrhart Formation","Emsian",NA,"Morzadec 2001",NA,"carbonate","Balseiro D","Randolfe EA",NA
"80",NA,"x","Morzadec_2001_Plate_9_8a","Hollardops","Hollardops burtandmimiae",NA,"Philipsmithiana","Lieberman and Kloc 1997","Morzadec 1997",NA,NA,NA,NA,"Morzadec 2001",TRUE,NA,NA,TRUE,"holaspis","Foum Zguid","Morocco",30.0765208848491,-6.88066008904462,"Souss-Masa",NA,"Timrhanrhart Formation","Emsian",NA,"Morzadec 2001",NA,"carbonate","Balseiro D","Randolfe EA",NA
"81",NA,"x","NHM_It27126","Erbenochile","Erbenochile erbeni",NA,"Odontochile (Erbenochile)","Alberti 1981","Alberti 1981",NA,NA,NA,NA,"Chatterton et al 2006",TRUE,NA,NA,TRUE,"holaspis","Jbel Gara el Zguilma","Morocco",29.7144458506943,-6.691529014,"Souss-Masa","Tata Province","Timrhanrhart Formation","Emsian",NA,"Chatterton et al 2006",NA,"carbonate","Balseiro D","Randolfe EA",NA
"82","Lochkovian","to.inc.lochkovian","NMV_P313297","Kosovopeltis","Kosovopeltis trepida",NA,"Kosovopeltis","Holloway and Lane 2012","Snajdr 1958","trepida",NA,NA,NA,"Holloway and Lane 2012",TRUE,NA,NA,TRUE,"holaspis","Orange district","Australia",-33,148,NA,NA,"Mirrabooka","Wenlock",NA,"Holloway and Lane 2012",NA,NA,"Randolfe EA","Randolfe EA",NA
"83",NA,"x","SMF_79001B","Acastava","Acastava schmidti",NA,"Acaste","Richter 1909","Richter and Richter 1954",NA,NA,NA,NA,"Basse 2003",TRUE,NA,NA,TRUE,"holaspis","Oberstadtfeld","Germany",50.1739499633654,6.76975053910268,NA,NA,"Gladbach-Schichten","Emsian",NA,"Basse 2003",NA,"siliciclastic","Randolfe EA","Randolfe EA",NA
"84",NA,"x","SMF_81a","Neometacanthus","Neometacanthus stellifer",NA,"Phacops","Burmeister 1843","Richter and Richter 1948",NA,NA,NA,NA,"Basse 2003",TRUE,NA,NA,TRUE,"holaspis","Gerolstein","Germany",50.2144766548442,6.65082824482215,"Rheinland-Pfalz","Vulkaneifel","Ahrdorf Formation","Eifelian",NA,"Basse 2003",NA,"siliciclastic","Balseiro D","Randolfe EA",NA
"85",NA,"x","SMF_RX_1316d","Rhenops","Rhenops anserinus",NA,"Cryphaeus","Richter and Richter 1916","Richter and Richter 1943",NA,NA,NA,NA,"Basse 2003",TRUE,NA,NA,TRUE,"holaspis","Raum Ober-Niederstadtfeld","Germany",50.1669919515279,6.76433740697921,NA,NA,"Gladbach-Schichten","Emsian",NA,"Basse 2003",NA,"siliciclastic","Randolfe EA","Randolfe EA",NA
"86",NA,"x","SMF_X_82f","Asteropyge","Asteropyge comes",NA,NA,"Basse 2003","Hawle and Corda 1847",NA,NA,NA,NA,"Basse 2003",TRUE,NA,NA,TRUE,"holaspis","Hillesheim","Germany",50.2917675908912,6.67478484449128,NA,NA,"Ahrdorf","Eifelian",NA,"Basse 2003",NA,"carbonate","Randolfe EA","Randolfe EA",NA
"87",NA,"x","Morzadec_2001_Plate_11_1a","Coltraneia","Coltraneia oufatenensis",NA,NA,"Morzadec 2001","Lieberman and Kloc 1997",NA,NA,NA,NA,"Morzadec 2001",TRUE,NA,TRUE,TRUE,"holaspis","coupe d'Oufatene","Morocco",30.8321758801117,-4.90365512172326,"Draa-Talifatet","Ma'der","El Oftal Formation","Emsian",NA,"Morzadec 2001",NA,"carbonate","Balseiro D","REA (C), FS (P)",NA
"88",NA,"x","Morzadec_2001_Plate_13_5a","Psychopyge","Psychopyge praestans",NA,NA,"Morzadec 1950","Termier and Termier 1950",NA,NA,NA,NA,"Morzadec 2001",TRUE,NA,TRUE,TRUE,"holaspis","Jbel Gara","Morocco",30.0124628702169,-7.11015112472988,"Souss-Masa","Tata Province","Timrhanrhart Formation","Emsian",NA,"Morzadec 2001",NA,"carbonate","Balseiro D","REA (C), FS (P)",NA
"89",NA,"x","Morzadec_2001_Plate_3_4a","Methacanthina","Methacanthina issoumourensis",NA,NA,"Morzadec 2001","Pillet 1954",NA,NA,NA,NA,"Morzadec 2001",TRUE,NA,TRUE,TRUE,"holaspis","Jbel Issoumour","Morocco",31.0886646584573,-5.01522006127014,"Draa-Talifatet","Ma'der","Ihandar Formation","Pragian",NA,"Morzadec 2001",NA,"carbonate","Balseiro D","REA (C), FS (P)",NA
"90",NA,"x","Morzadec_2001_Plate_4_5a","Kayserops","Kayserops megaspina",NA,NA,"Morzadec 2001","Delo 1935",NA,NA,NA,NA,"Morzadec 2001",TRUE,NA,TRUE,TRUE,"holaspis","Ma'der","Morocco",30.9850236525022,-4.8641740681368,"Draa-Talifatet","Ma'der",NA,"Emsian",NA,"Morzadec 2001",NA,"carbonate","Balseiro D","REA (C), FS (P)",NA
"91",NA,"x","USNM_489773","Cordania","Cordania wessmani",NA,"Cordania","Adrain and Kloc 1997","Clarke 1892","wessmani",NA,NA,NA,"Adrain and Kloc 1997",TRUE,NA,TRUE,TRUE,"holaspis","Wessman Quarry","United States",34.5,-96.5,"Oklahoma","Pontotoc","Haragan","Lochkovian",NA,"Adrain and Kloc 1997",NA,NA,"Randolfe EA","REA (C), FS (P)",NA
"92",NA,"x","IRSNB13012","Cyphaspis","Cyphaspis kippingi",NA,"Cyphaspis","Van Viersen and Holland 2016","Burmeister 1843","kippingi",NA,NA,NA,"Van Viersen and Holland 2016",TRUE,NA,NA,TRUE,"holaspis","Issoumour","Morocco",31.0908333333,4.87666666667,NA,NA,"Tazoulait Formation","Emsian",NA,"Van Viersen and Holland 2016",NA,"siliciclastic","Munoz DF","Rustan JJ",NA
"93","Emsian","to.inc.emsian","MCZ103493","Aulacopleura","Aulacopleura koninckii",NA,"Arethusa","Barrande 1846","Hawle and Corda 1847","koninckii",NA,NA,NA,"Hughes and Chapman 1995",TRUE,NA,NA,TRUE,"holaspis","Lodenice","Czech Republic",49.987587,14.14034,"Central Bohemia","Beroun","Motol Formation","Wenlock",NA,"Hughes and Chapman 1995","Bohemia","siliciclastic","Munoz DF","Rustan JJ",NA
"94",NA,"x","MGCU451059","Crotalocephalus","Crotalocephalus zinzilbanicus",NA,"Crotalocephalus","Ivanova and Owens 2008","Salter 1853","zinzilbanicus",NA,NA,NA,"Owens et al 2010",TRUE,NA,NA,TRUE,"holaspis","Zinzilban Sai, Zerafshan Range","Uzbekistan",39.1614686249382,67.5066048667298,"Karshi",NA,"Khodzhakurgan Formation","Emsian",NA,"Owens et al 2010",NA,"carbonate","Munoz DF","Rustan JJ",NA
